# Titles that remain non-Latin after the build-data pipeline runs
# (no English form in filename, no auto-romanization applied).
# Add an English/romanized title in metadata/<folder>.json for each.
#
# folder | filename | current title | artist | year | commons url

collection-of-beauty | Афганец_(2).jpg | Афганец (2) | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B5%D1%86_(2).jpg
collection-of-beauty | Афганец.jpg | Афганец | Vasily Vereshchagin | 1867 | https://commons.wikimedia.org/wiki/File%3A%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B5%D1%86.jpg
collection-of-beauty | В_горах_Алатау_2.jpg | В горах Алатау | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%92_%D0%B3%D0%BE%D1%80%D0%B0%D1%85_%D0%90%D0%BB%D0%B0%D1%82%D0%B0%D1%83_2.jpg
collection-of-beauty | Дети_племени_солонов.jpg | Дети племени солонов | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%94%D0%B5%D1%82%D0%B8_%D0%BF%D0%BB%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8_%D1%81%D0%BE%D0%BB%D0%BE%D0%BD%D0%BE%D0%B2.jpg
collection-of-beauty | Киргизские_кибитки_на_реке_Чу.jpg | Киргизские кибитки на реке Чу | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D1%81%D0%BA%D0%B8%D0%B5_%D0%BA%D0%B8%D0%B1%D0%B8%D1%82%D0%BA%D0%B8_%D0%BD%D0%B0_%D1%80%D0%B5%D0%BA%D0%B5_%D0%A7%D1%83.jpg
collection-of-beauty | Китайская_палатка.jpg | Китайская палатка | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%9A%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B0%D0%BB%D0%B0%D1%82%D0%BA%D0%B0.jpg
collection-of-beauty | Мавзолей_Шах-и-Зинда_в_Самарканде.jpg | Мавзолей Шах-и-Зинда в Самарканде | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%9C%D0%B0%D0%B2%D0%B7%D0%BE%D0%BB%D0%B5%D0%B9_%D0%A8%D0%B0%D1%85-%D0%B8-%D0%97%D0%B8%D0%BD%D0%B4%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%BA%D0%B0%D0%BD%D0%B4%D0%B5.jpg
collection-of-beauty | Медресе_Шир-Дор_на_площади_Регистан_в_Самарканде.jpg | Медресе Шир-Дор на площади Регистан в Самарканде | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%9C%D0%B5%D0%B4%D1%80%D0%B5%D1%81%D0%B5_%D0%A8%D0%B8%D1%80-%D0%94%D0%BE%D1%80_%D0%BD%D0%B0_%D0%BF%D0%BB%D0%BE%D1%89%D0%B0%D0%B4%D0%B8_%D0%A0%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD_%D0%B2_%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%BA%D0%B0%D0%BD%D0%B4%D0%B5.jpg
collection-of-beauty | Парламентёры.jpg | Парламентёры | Vasily Vereshchagin | 1873 | https://commons.wikimedia.org/wiki/File%3A%D0%9F%D0%B0%D1%80%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82%D1%91%D1%80%D1%8B.jpg
collection-of-beauty | Перекочевка_киргизов_2.jpg | Перекочёвка киргизов | Vasily Vereshchagin | 1869 | https://commons.wikimedia.org/wiki/File%3A%D0%9F%D0%B5%D1%80%D0%B5%D0%BA%D0%BE%D1%87%D0%B5%D0%B2%D0%BA%D0%B0_%D0%BA%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D0%BE%D0%B2_2.jpg
collection-of-beauty | Пикет_на_Дунае.jpg | Пикет на Дунае | Vasily Vereshchagin | 1878 | https://commons.wikimedia.org/wiki/File%3A%D0%9F%D0%B8%D0%BA%D0%B5%D1%82_%D0%BD%D0%B0_%D0%94%D1%83%D0%BD%D0%B0%D0%B5.jpg
